"STATISTIC","Statistic Label","TLIST(A1)","Year","C03935V04687","Mode of Transport","C01198V01436","Weeks of the year","VALUE"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","23","Week 23","101021"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","24","Week 24","138791"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","25","Week 25","170670"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","26","Week 26","199508"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","27","Week 27","261970"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","28","Week 28","261970"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","29","Week 29","278033"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","30","Week 30","286232"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","31","Week 31","305731"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","32","Week 32","323489"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","33","Week 33","295557"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","34","Week 34","258999"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","35","Week 35","285663"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","36","Week 36","332558"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","37","Week 37","346681"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","38","Week 38","323907"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","39","Week 39","289803"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","40","Week 40","284420"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","41","Week 41","275531"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","42","Week 42","263936"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","43","Week 43","197097"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","44","Week 44","118406"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","45","Week 45","181839"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","46","Week 46","176067"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","47","Week 47","197427"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","48","Week 48","194005"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","49","Week 49","295306"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","50","Week 50","315393"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","51","Week 51","322484"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","52","Week 52","184982"
"THA24C01","Passenger Journeys","2020","2020","30","Rail","53","Week 53","101951"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","1","Week 01","107227"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","2","Week 02","90529"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","3","Week 03","93456"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","4","Week 04","93322"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","5","Week 05","105426"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","6","Week 06","96338"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","7","Week 07","114588"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","8","Week 08","127685"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","9","Week 09","142782"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","10","Week 10","134132"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","11","Week 11","144852"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","12","Week 12","149153"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","13","Week 13","172949"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","14","Week 14","144048"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","15","Week 15","225466"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","16","Week 16","264009"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","17","Week 17","225261"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","18","Week 18","216234"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","19","Week 19","269055"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","20","Week 20","274137"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","21","Week 21","366784"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","22","Week 22","393257"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","23","Week 23","377568"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","24","Week 24","371228"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","25","Week 25","368609"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","26","Week 26","399131"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","27","Week 27","359807"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","28","Week 28","455660"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","29","Week 29","466402"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","30","Week 30","387647"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","31","Week 31","386299"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","32","Week 32","402833"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","33","Week 33","396685"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","34","Week 34","475258"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","35","Week 35","445064"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","36","Week 36","454290"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","37","Week 37","430036"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","38","Week 38","481469"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","39","Week 39","516121"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","40","Week 40","523639"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","41","Week 41","524870"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","42","Week 42","462006"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","43","Week 43","440154"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","44","Week 44","569327"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","45","Week 45","570080"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","46","Week 46","509671"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","47","Week 47","465963"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","48","Week 48","465590"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","49","Week 49","417041"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","50","Week 50","477149"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","51","Week 51","278965"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","52","Week 52","243709"
"THA24C01","Passenger Journeys","2021","2021","30","Rail","53","Week 53",""
"THA24C01","Passenger Journeys","2022","2022","30","Rail","1","Week 01","288051"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","2","Week 02","357666"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","3","Week 03","399947"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","4","Week 04","453379"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","5","Week 05","524640"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","6","Week 06","477140"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","7","Week 07","471325"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","8","Week 08","533442"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","9","Week 09","589825"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","10","Week 10","507442"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","11","Week 11","580364"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","12","Week 12","598637"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","13","Week 13","602411"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","14","Week 14","581420"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","15","Week 15","557169"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","16","Week 16","590864"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","17","Week 17","599078"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","18","Week 18","633863"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","19","Week 19","672546"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","20","Week 20","650548"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","21","Week 21","663418"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","22","Week 22","700921"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","23","Week 23","646250"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","24","Week 24","718874"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","25","Week 25","777823"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","26","Week 26","723963"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","27","Week 27","768799"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","28","Week 28","788475"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","29","Week 29","780426"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","30","Week 30","694529"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","31","Week 31","695776"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","32","Week 32","776829"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","33","Week 33","708368"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","34","Week 34","753379"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","35","Week 35","674115"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","36","Week 36","735395"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","37","Week 37","781714"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","38","Week 38","777177"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","39","Week 39","841960"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","40","Week 40","841573"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","41","Week 41","814269"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","42","Week 42","824247"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","43","Week 43","799752"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","44","Week 44","767786"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","45","Week 45","860900"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","46","Week 46","863826"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","47","Week 47","810472"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","48","Week 48","810146"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","49","Week 49","831900"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","50","Week 50","805056"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","51","Week 51","619257"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","52","Week 52","410985"
"THA24C01","Passenger Journeys","2022","2022","30","Rail","53","Week 53",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","1","Week 01","593351"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","2","Week 02","693509"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","3","Week 03","737213"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","4","Week 04","803814"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","5","Week 05","843766"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","6","Week 06","783829"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","7","Week 07","825296"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","8","Week 08","843175"
"THA24C01","Passenger Journeys","2023","2023","30","Rail","9","Week 09",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","10","Week 10",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","11","Week 11",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","12","Week 12",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","13","Week 13",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","14","Week 14",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","15","Week 15",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","16","Week 16",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","17","Week 17",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","18","Week 18",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","19","Week 19",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","20","Week 20",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","21","Week 21",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","22","Week 22",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","23","Week 23",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","24","Week 24",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","25","Week 25",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","26","Week 26",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","27","Week 27",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","28","Week 28",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","29","Week 29",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","30","Week 30",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","31","Week 31",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","32","Week 32",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","33","Week 33",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","34","Week 34",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","35","Week 35",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","36","Week 36",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","37","Week 37",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","38","Week 38",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","39","Week 39",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","40","Week 40",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","41","Week 41",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","42","Week 42",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","43","Week 43",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","44","Week 44",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","45","Week 45",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","46","Week 46",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","47","Week 47",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","48","Week 48",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","49","Week 49",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","50","Week 50",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","51","Week 51",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","52","Week 52",""
"THA24C01","Passenger Journeys","2023","2023","30","Rail","53","Week 53",""
